,tradedate,tradetime,secid,rate,clearing,date
459,2022-02-04,18:44:00,EUR/RUB,87.0272,vk,2022-02-04
460,2022-02-04,18:44:00,GBP/RUB,102.9674,vk,2022-02-04
461,2022-02-04,18:44:00,HKD/RUB,9.7731,vk,2022-02-04
463,2022-02-04,18:44:00,JPY/RUB,0.66021,vk,2022-02-04
464,2022-02-04,18:44:00,TRY/RUB,5.6201,vk,2022-02-04
472,2022-02-04,18:44:00,USD/RUB,76.1351,vk,2022-02-04
475,2022-02-07,18:44:00,CAD/RUB,59.6254,vk,2022-02-07
476,2022-02-07,18:44:00,CHF/RUB,82.0296,vk,2022-02-07
477,2022-02-07,18:44:00,CNY/RUB,11.8973,vk,2022-02-07
478,2022-02-07,18:44:00,EUR/RUB,86.5733,vk,2022-02-07
479,2022-02-07,18:44:00,GBP/RUB,102.3299,vk,2022-02-07
480,2022-02-07,18:44:00,HKD/RUB,9.714,vk,2022-02-07
482,2022-02-07,18:44:00,JPY/RUB,0.65804,vk,2022-02-07
483,2022-02-07,18:44:00,TRY/RUB,5.5803,vk,2022-02-07
491,2022-02-07,18:44:00,USD/RUB,75.6945,vk,2022-02-07
494,2022-02-08,18:44:00,CAD/RUB,59.1527,vk,2022-02-08
495,2022-02-08,18:44:00,CHF/RUB,81.2732,vk,2022-02-08
496,2022-02-08,18:44:00,CNY/RUB,11.8071,vk,2022-02-08
497,2022-02-08,18:44:00,EUR/RUB,85.7824,vk,2022-02-08
498,2022-02-08,18:44:00,GBP/RUB,101.7998,vk,2022-02-08
499,2022-02-08,18:44:00,HKD/RUB,9.6431,vk,2022-02-08
501,2022-02-08,18:44:00,JPY/RUB,0.65052,vk,2022-02-08
502,2022-02-08,18:44:00,TRY/RUB,5.5261,vk,2022-02-08
510,2022-02-08,18:44:00,USD/RUB,75.1712,vk,2022-02-08
513,2022-02-09,18:44:00,CAD/RUB,58.878,vk,2022-02-09
514,2022-02-09,18:44:00,CHF/RUB,80.8871,vk,2022-02-09
515,2022-02-09,18:44:00,CNY/RUB,11.7364,vk,2022-02-09
516,2022-02-09,18:44:00,EUR/RUB,85.4201,vk,2022-02-09
517,2022-02-09,18:44:00,GBP/RUB,101.2167,vk,2022-02-09
518,2022-02-09,18:44:00,HKD/RUB,9.5845,vk,2022-02-09
520,2022-02-09,18:44:00,JPY/RUB,0.64687,vk,2022-02-09
521,2022-02-09,18:44:00,TRY/RUB,5.4964,vk,2022-02-09
529,2022-02-09,18:44:00,USD/RUB,74.675,vk,2022-02-09
532,2022-02-10,18:44:00,CAD/RUB,58.8827,vk,2022-02-10
533,2022-02-10,18:44:00,CHF/RUB,80.6105,vk,2022-02-10
534,2022-02-10,18:44:00,CNY/RUB,11.713,vk,2022-02-10
535,2022-02-10,18:44:00,EUR/RUB,85.3711,vk,2022-02-10
536,2022-02-10,18:44:00,GBP/RUB,101.3815,vk,2022-02-10
537,2022-02-10,18:44:00,HKD/RUB,9.5551,vk,2022-02-10
539,2022-02-10,18:44:00,JPY/RUB,0.64252,vk,2022-02-10
540,2022-02-10,18:44:00,TRY/RUB,5.4922,vk,2022-02-10
548,2022-02-10,18:44:00,USD/RUB,74.4631,vk,2022-02-10
551,2022-02-11,18:44:00,CAD/RUB,59.837,vk,2022-02-11
552,2022-02-11,18:44:00,CHF/RUB,81.936,vk,2022-02-11
553,2022-02-11,18:44:00,CNY/RUB,11.9408,vk,2022-02-11
554,2022-02-11,18:44:00,EUR/RUB,86.4855,vk,2022-02-11
555,2022-02-11,18:44:00,GBP/RUB,103.1769,vk,2022-02-11
556,2022-02-11,18:44:00,HKD/RUB,9.7291,vk,2022-02-11
558,2022-02-11,18:44:00,JPY/RUB,0.6548,vk,2022-02-11
559,2022-02-11,18:44:00,TRY/RUB,5.6234,vk,2022-02-11
567,2022-02-11,18:44:00,USD/RUB,75.8793,vk,2022-02-11
570,2022-02-14,18:44:00,CAD/RUB,60.3648,vk,2022-02-14
571,2022-02-14,18:44:00,CHF/RUB,82.9846,vk,2022-02-14
572,2022-02-14,18:44:00,CNY/RUB,12.0954,vk,2022-02-14
573,2022-02-14,18:44:00,EUR/RUB,86.9082,vk,2022-02-14
574,2022-02-14,18:44:00,GBP/RUB,103.9981,vk,2022-02-14
575,2022-02-14,18:44:00,HKD/RUB,9.8556,vk,2022-02-14
577,2022-02-14,18:44:00,JPY/RUB,0.66518,vk,2022-02-14
578,2022-02-14,18:44:00,TRY/RUB,5.6985,vk,2022-02-14
586,2022-02-14,18:44:00,USD/RUB,76.8927,vk,2022-02-14
589,2022-02-15,18:44:00,CAD/RUB,59.281,vk,2022-02-15
590,2022-02-15,18:44:00,CHF/RUB,81.6365,vk,2022-02-15
591,2022-02-15,18:44:00,CNY/RUB,11.9297,vk,2022-02-15
592,2022-02-15,18:44:00,EUR/RUB,85.8182,vk,2022-02-15
593,2022-02-15,18:44:00,GBP/RUB,102.2432,vk,2022-02-15
594,2022-02-15,18:44:00,HKD/RUB,9.6925,vk,2022-02-15
596,2022-02-15,18:44:00,JPY/RUB,0.6532,vk,2022-02-15
597,2022-02-15,18:44:00,TRY/RUB,5.5683,vk,2022-02-15
605,2022-02-15,18:44:00,USD/RUB,75.6248,vk,2022-02-15
608,2022-02-16,18:44:00,CAD/RUB,59.3128,vk,2022-02-16
609,2022-02-16,18:44:00,CHF/RUB,81.5642,vk,2022-02-16
610,2022-02-16,18:44:00,CNY/RUB,11.8818,vk,2022-02-16
611,2022-02-16,18:44:00,EUR/RUB,85.5822,vk,2022-02-16
612,2022-02-16,18:44:00,GBP/RUB,102.279,vk,2022-02-16
613,2022-02-16,18:44:00,HKD/RUB,9.6519,vk,2022-02-16
615,2022-02-16,18:44:00,JPY/RUB,0.65207,vk,2022-02-16
616,2022-02-16,18:44:00,TRY/RUB,5.5271,vk,2022-02-16
624,2022-02-16,18:44:00,USD/RUB,75.2976,vk,2022-02-16
627,2022-02-17,18:44:00,CAD/RUB,60.0792,vk,2022-02-17
628,2022-02-17,18:44:00,CHF/RUB,82.8082,vk,2022-02-17
629,2022-02-17,18:44:00,CNY/RUB,12.0331,vk,2022-02-17
630,2022-02-17,18:44:00,EUR/RUB,86.6553,vk,2022-02-17
631,2022-02-17,18:44:00,GBP/RUB,103.8743,vk,2022-02-17
632,2022-02-17,18:44:00,HKD/RUB,9.778,vk,2022-02-17
634,2022-02-17,18:44:00,JPY/RUB,0.66329,vk,2022-02-17
635,2022-02-17,18:44:00,TRY/RUB,5.6151,vk,2022-02-17
643,2022-02-17,18:44:00,USD/RUB,76.2705,vk,2022-02-17
646,2022-02-18,18:44:00,CAD/RUB,60.2942,vk,2022-02-18
647,2022-02-18,18:44:00,CHF/RUB,83.3925,vk,2022-02-18
648,2022-02-18,18:44:00,CNY/RUB,12.1307,vk,2022-02-18
649,2022-02-18,18:44:00,EUR/RUB,86.978,vk,2022-02-18
650,2022-02-18,18:44:00,GBP/RUB,104.3193,vk,2022-02-18
651,2022-02-18,18:44:00,HKD/RUB,9.8402,vk,2022-02-18
653,2022-02-18,18:44:00,JPY/RUB,0.66696,vk,2022-02-18
654,2022-02-18,18:44:00,TRY/RUB,5.6268,vk,2022-02-18
662,2022-02-18,18:44:00,USD/RUB,76.7545,vk,2022-02-18
665,2022-02-21,18:44:00,CAD/RUB,62.0969,vk,2022-02-21
666,2022-02-21,18:44:00,CHF/RUB,86.4158,vk,2022-02-21
667,2022-02-21,18:44:00,CNY/RUB,12.4903,vk,2022-02-21
668,2022-02-21,18:44:00,EUR/RUB,89.5931,vk,2022-02-21
669,2022-02-21,18:44:00,GBP/RUB,107.7277,vk,2022-02-21
670,2022-02-21,18:44:00,HKD/RUB,10.1437,vk,2022-02-21
672,2022-02-21,18:44:00,JPY/RUB,0.68888,vk,2022-02-21
673,2022-02-21,18:44:00,TRY/RUB,5.7961,vk,2022-02-21
681,2022-02-21,18:44:00,USD/RUB,79.1301,vk,2022-02-21
684,2022-02-22,18:44:00,CAD/RUB,62.1743,vk,2022-02-22
685,2022-02-22,18:44:00,CHF/RUB,85.8221,vk,2022-02-22
686,2022-02-22,18:44:00,CNY/RUB,12.5096,vk,2022-02-22
687,2022-02-22,18:44:00,EUR/RUB,89.7427,vk,2022-02-22
688,2022-02-22,18:44:00,GBP/RUB,107.3636,vk,2022-02-22
689,2022-02-22,18:44:00,HKD/RUB,10.1436,vk,2022-02-22
691,2022-02-22,18:44:00,JPY/RUB,0.68735,vk,2022-02-22
692,2022-02-22,18:44:00,TRY/RUB,5.7692,vk,2022-02-22
700,2022-02-22,18:44:00,USD/RUB,79.1417,vk,2022-02-22
703,2022-02-23,18:44:00,CAD/RUB,63.4884,vk,2022-02-23
704,2022-02-23,18:44:00,CHF/RUB,88.0035,vk,2022-02-23
705,2022-02-23,18:44:00,CNY/RUB,12.7841,vk,2022-02-23
706,2022-02-23,18:44:00,EUR/RUB,91.4155,vk,2022-02-23
707,2022-02-23,18:44:00,GBP/RUB,109.5434,vk,2022-02-23
708,2022-02-23,18:44:00,HKD/RUB,10.3444,vk,2022-02-23
710,2022-02-23,18:44:00,JPY/RUB,0.7016,vk,2022-02-23
711,2022-02-23,18:44:00,TRY/RUB,5.8487,vk,2022-02-23
719,2022-02-23,18:44:00,USD/RUB,80.7318,vk,2022-02-23
722,2022-02-24,18:44:00,CAD/RUB,68.2985,vk,2022-02-24
723,2022-02-24,18:44:00,CHF/RUB,94.8012,vk,2022-02-24
724,2022-02-24,18:44:00,CNY/RUB,13.8697,vk,2022-02-24
725,2022-02-24,18:44:00,EUR/RUB,97.3454,vk,2022-02-24
726,2022-02-24,18:44:00,GBP/RUB,116.7843,vk,2022-02-24
727,2022-02-24,18:44:00,HKD/RUB,11.2401,vk,2022-02-24
729,2022-02-24,18:44:00,JPY/RUB,0.76047,vk,2022-02-24
730,2022-02-24,18:44:00,TRY/RUB,6.1567,vk,2022-02-24
738,2022-02-24,18:44:00,USD/RUB,87.784,vk,2022-02-24
741,2022-02-25,18:44:00,CAD/RUB,65.1368,vk,2022-02-25
742,2022-02-25,18:44:00,CHF/RUB,89.5596,vk,2022-02-25
743,2022-02-25,18:44:00,CNY/RUB,13.1542,vk,2022-02-25
744,2022-02-25,18:44:00,EUR/RUB,93.412,vk,2022-02-25
745,2022-02-25,18:44:00,GBP/RUB,111.376,vk,2022-02-25
746,2022-02-25,18:44:00,HKD/RUB,10.6426,vk,2022-02-25
748,2022-02-25,18:44:00,JPY/RUB,0.71937,vk,2022-02-25
749,2022-02-25,18:44:00,TRY/RUB,6.0107,vk,2022-02-25
757,2022-02-25,18:44:00,USD/RUB,83.1015,vk,2022-02-25
760,2022-02-28,18:44:00,CAD/RUB,77.4156,vk,2022-02-28
761,2022-02-28,18:44:00,CHF/RUB,106.8057,vk,2022-02-28
762,2022-02-28,18:44:00,CNY/RUB,15.5535,vk,2022-02-28
763,2022-02-28,18:44:00,EUR/RUB,106.9403,vk,2022-02-28
764,2022-02-28,18:44:00,GBP/RUB,131.7187,vk,2022-02-28
765,2022-02-28,18:44:00,HKD/RUB,12.5582,vk,2022-02-28
767,2022-02-28,18:44:00,JPY/RUB,0.85087,vk,2022-02-28
768,2022-02-28,18:44:00,TRY/RUB,7.0083,vk,2022-02-28
